id;source_of_application;application_date;completion_date;admission_no;admission_date;comments;application_status;branch_id;academic_year_id;created_by;created_on;updated_by;updated_on
1;Louisiana JSON Texas;2020-03-05;2020-03-04;67984;2020-03-04;compress Fantastic Global;Buckinghamshire monetize;29763;89552;streamline;2020-03-05;Internal Fantastic time-frame;2020-03-04
2;Applications Missouri deposit;2020-03-04;2020-03-05;29321;2020-03-04;Pakistan;parse;79157;78129;Wooden Optimization Associate;2020-03-04;Practical Soft Salad Guam;2020-03-04
3;Liaison;2020-03-04;2020-03-04;83696;2020-03-04;Refined Practical Algerian Dinar;revolutionize;89189;70624;Sleek;2020-03-05;Planner;2020-03-04
4;transition open-source Interactions;2020-03-04;2020-03-04;75337;2020-03-04;bandwidth Buckinghamshire;Oklahoma communities;90635;33025;supply-chains;2020-03-05;grow;2020-03-04
5;hack;2020-03-04;2020-03-05;82279;2020-03-04;synthesize Idaho Markets;Glen Refined;52837;22359;Assistant Industrial;2020-03-04;Incredible Fresh Car Tuvalu;2020-03-04
6;Gorgeous Rubber Chicken Associate Central African Republic;2020-03-04;2020-03-05;69574;2020-03-04;Orchestrator Naira;Legacy Unbranded Plastic Chips;95041;5786;brand Generic B2B;2020-03-05;withdrawal;2020-03-04
7;Persevering analyzing;2020-03-04;2020-03-04;25994;2020-03-04;Kwanza Falkland Islands (Malvinas);schemas;60278;68473;Keyboard;2020-03-04;parsing;2020-03-04
8;hard drive Personal Loan Account;2020-03-04;2020-03-05;93272;2020-03-04;Aruba Chair portals;online Strategist Shirt;59413;74957;redefine transmitting;2020-03-04;Practical Steel Shirt Plastic Movies;2020-03-05
9;New Taiwan Dollar Zimbabwe parse;2020-03-04;2020-03-04;58514;2020-03-04;Accounts navigating Ergonomic;purple User-friendly;27473;60617;Synergized;2020-03-04;Checking Account global Steel;2020-03-04
10;Kyrgyz Republic transmit;2020-03-04;2020-03-04;85218;2020-03-04;Planner Refined;engage Granite Grocery;75513;78466;payment digital;2020-03-04;Checking Account;2020-03-04
